ticker,company_name,n_years,years_neg_eq,years_neg_ni,years_neg_cfo,years_cash_low,years_high_lev,years_rev_drop,distress_score
300212.SZ,E-HUALU,3,0,2,2,2,0,2,8
600589.SH,DAWEI TECHNOLOGY,3,1,2,1,1,1,0,8
301302.SZ,HUARU,3,0,2,3,0,0,2,6
002362.SZ,HANVON,3,0,3,2,0,0,0,5
002261.SZ,TALKWEB,3,0,2,2,0,0,0,5
688509.SH,ZYDX,3,0,2,2,0,0,1,5
688500.SH,HCR,3,0,3,2,0,0,0,5
002291.SZ,YOWANT TECHNOLOGY,3,0,3,2,0,0,0,5
920305.BJ,CSTOR,3,0,3,2,0,0,1,5
920171.BJ,ZCCN INFO,3,0,3,3,0,0,1,5
688316.SH,QING CLOUD,3,0,3,3,0,0,0,5
688296.SH,HEDA,3,0,2,2,0,0,0,5
688229.SH,BONREE,3,0,3,3,0,0,0,5
688227.SH,BINGOSOFTWARE,3,0,2,2,0,0,0,5
688207.SH,DEEP GLINT,3,0,2,2,0,0,1,5
688168.SH,ABT NETWORKS,3,0,2,2,0,0,0,5
688095.SH,FUXIN SOFTWARE,3,0,2,2,0,0,0,5
002405.SZ,NAVINFO,3,0,3,2,0,0,0,5
688066.SH,PIESAT,3,0,2,3,0,0,0,5
688058.SH,BAOLANDE,3,0,2,3,0,0,0,5
688051.SH,ROCKONTROL,3,0,3,2,0,0,0,5
688039.SH,ARCVIDEO TECH,3,0,3,3,0,0,0,5
688038.SH,CITMS,3,0,3,2,0,0,1,5
688369.SH,SEEYON,3,0,2,3,0,0,0,5
688343.SH,INTELLIFUSION,3,0,3,3,0,0,0,5
688327.SH,CLOUDWALK,3,0,3,3,0,0,1,5
688023.SH,DAS-SECURITY,3,0,3,2,0,0,0,5
688030.SH,HILLSTONE NETWORKS,3,0,3,3,0,0,0,5
688031.SH,TRANSWARP,3,0,3,3,0,0,0,5
601519.SH,DZH,3,0,2,2,0,0,0,5
600855.SH,ASCF,3,0,2,3,0,0,0,5
600588.SH,YONYOU,3,0,2,2,0,0,0,5
600536.SH,CS&S,3,0,2,2,0,0,1,5
603990.SH,MEDITECH,3,0,2,2,0,0,0,5
300081.SZ,HXDF,3,0,3,2,0,0,0,5
300044.SZ,SUNWIN,3,0,3,2,0,0,1,5
300020.SZ,ENJOYOR,3,0,2,2,0,0,1,5
300036.SZ,SUPERMAP,3,0,2,2,0,0,0,5
003029.SZ,JIT,3,0,3,2,0,0,0,5
301213.SZ,SICHUAN DISCOVERY DREAM SCIENCE & TECHNOLOGY,3,0,2,2,0,0,0,5
301159.SZ,SUNWAYWORLD,3,0,2,3,0,0,0,5
603138.SH,VASTDATA,3,0,3,2,0,0,0,5
300935.SZ,YJK,3,0,3,3,0,0,0,5
300810.SZ,BEIJING ZHONGKEHAIXUN DIGITAL S&T,3,0,2,2,0,0,0,5
300659.SZ,ZFINFO,3,0,3,3,0,0,0,5
300730.SZ,CREATOR INFORMATION,3,0,2,3,0,0,1,5
300419.SZ,INTERACT,3,0,2,2,0,0,1,5
300352.SZ,VRV,3,0,2,2,1,0,0,5
300344.SZ,CDT,3,0,3,2,0,0,1,5
300469.SZ,CES,3,0,3,3,0,0,0,5
300300.SZ,HXCX,3,0,2,1,3,0,0,5
300287.SZ,PHILISENSE,3,0,3,2,0,0,0,5
300264.SZ,AVIT,3,0,3,3,0,0,0,5
300168.SZ,WONDERS INFORMATION,3,0,3,2,0,0,0,5
300096.SZ,YLZ,3,0,2,2,0,0,0,5
OCFT.N,OCFT,3,0,3,3,0,0,1,5
000503.SZ,CHINA REFORM HEALTH MANAGEMENT AND SERVICES GROUP,3,0,3,3,0,0,0,5
000004.SZ,GH-TECH,3,0,3,3,0,0,1,5
300047.SZ,TYDIC,3,0,0,2,2,0,0,4
688365.SH,RAYCLOUD,3,0,3,1,0,0,0,3
002153.SZ,SHIJINETWORK,3,0,3,1,0,0,0,3
300166.SZ,BONCLOUD,3,0,2,0,0,0,0,3
300167.SZ,DVISION,3,0,3,1,0,0,0,3
300098.SZ,GOSUNCN,3,0,3,0,0,0,0,3
300188.SZ,SDIC INTELLIGENCE,3,0,2,1,0,0,0,3
300290.SZ,BRINGSPRING TECH.,3,0,2,1,0,0,0,3
300311.SZ,SURFILTER,3,0,3,1,0,0,0,3
300324.SZ,WATERTEK,3,0,3,1,0,0,0,3
300365.SZ,FOREVER TECHNOLOGY,3,0,2,1,0,0,0,3
300366.SZ,TROY INFORMATION,3,0,3,1,0,0,0,3
