Model,ROC-AUC,PR-AUC
Logistic Regression,0.895364250127385,0.07589351095035025
Logistic Regression,0.8164481717804073,0.09115400776693842
Logistic Regression,0.851072864179358,0.06741644944254958
Logistic Regression,0.8055958052421575,0.06716491723329646
Logistic Regression,0.844740693385929,0.08388035494017869
Random Forest,0.9039202711883598,0.12150256816950104
Random Forest,0.8927031737295908,0.11943464968052478
Random Forest,0.8584049240128804,0.06154012403414558
Random Forest,0.8214343555081637,0.07410567950972193
Random Forest,0.9079300622519346,0.09638994461629599
XGBoost,0.8720917313027232,0.06395971729049478
XGBoost,0.8497598634424877,0.09210214995572168
XGBoost,0.8300436918074541,0.05245756589436334
XGBoost,0.8229815200192625,0.07642148673678281
XGBoost,0.8500710959235946,0.08261423692511034
