,current_ratio,cash_to_assets,cash_to_cl,wc_to_assets,intangibles_to_assets,debt_to_assets,debt_to_equity,lt_debt_to_assets,interest_coverage,roa,net_margin,operating_margin,cfo_to_assets,log_assets,log_revenue
current_ratio,1.0,0.045,0.698,0.09,-0.019,-0.054,-0.054,-0.032,0.002,0.037,0.038,0.031,-0.004,0.037,-0.068
cash_to_assets,0.045,1.0,0.336,-0.175,0.03,0.204,0.078,0.153,-0.009,0.096,0.055,0.058,0.059,-0.352,-0.173
cash_to_cl,0.698,0.336,1.0,0.076,-0.006,-0.031,-0.042,-0.007,-0.002,0.057,0.051,0.047,0.01,-0.03,-0.067
wc_to_assets,0.09,-0.175,0.076,1.0,-0.123,-0.749,-0.356,-0.355,0.022,0.016,0.129,0.118,-0.01,0.308,0.114
intangibles_to_assets,-0.019,0.03,-0.006,-0.123,1.0,0.175,0.111,0.173,0.002,-0.021,-0.067,-0.062,0.009,-0.052,-0.018
debt_to_assets,-0.054,0.204,-0.031,-0.749,0.175,1.0,0.491,0.766,-0.02,-0.003,-0.102,-0.091,0.001,-0.337,-0.15
debt_to_equity,-0.054,0.078,-0.042,-0.356,0.111,0.491,1.0,0.351,-0.017,0.102,0.001,0.006,0.002,-0.111,-0.044
lt_debt_to_assets,-0.032,0.153,-0.007,-0.355,0.173,0.766,0.351,1.0,-0.021,-0.089,-0.114,-0.101,-0.027,-0.287,-0.167
interest_coverage,0.002,-0.009,-0.002,0.022,0.002,-0.02,-0.017,-0.021,1.0,0.045,0.068,0.073,0.038,0.146,0.158
roa,0.037,0.096,0.057,0.016,-0.021,-0.003,0.102,-0.089,0.045,1.0,0.388,0.359,0.075,-0.008,0.071
net_margin,0.038,0.055,0.051,0.129,-0.067,-0.102,0.001,-0.114,0.068,0.388,1.0,0.952,0.068,0.054,0.231
operating_margin,0.031,0.058,0.047,0.118,-0.062,-0.091,0.006,-0.101,0.073,0.359,0.952,1.0,0.068,0.048,0.213
cfo_to_assets,-0.004,0.059,0.01,-0.01,0.009,0.001,0.002,-0.027,0.038,0.075,0.068,0.068,1.0,-0.007,0.024
log_assets,0.037,-0.352,-0.03,0.308,-0.052,-0.337,-0.111,-0.287,0.146,-0.008,0.054,0.048,-0.007,1.0,0.77
log_revenue,-0.068,-0.173,-0.067,0.114,-0.018,-0.15,-0.044,-0.167,0.158,0.071,0.231,0.213,0.024,0.77,1.0
