,count,mean,std,min,25%,50%,75%,max
current_ratio,88714.0,10.737,29.845,0.012,1.117,2.269,6.739,227.177
cash_to_assets,88714.0,0.287,0.312,0.0,0.03,0.155,0.476,1.0
cash_to_cl,88714.0,3.398,10.731,0.0,0.067,0.402,1.673,82.092
wc_to_assets,88714.0,-0.253,4.386,-38.481,0.087,0.482,0.8,0.995
intangibles_to_assets,88714.0,0.077,0.417,0.0,0.0,0.0,0.0,3.69
debt_to_assets,88714.0,3.299,16.626,0.004,0.188,0.527,0.964,147.1
debt_to_equity,88714.0,9.197,46.819,-42.986,0.072,0.455,2.171,378.513
lt_debt_to_assets,88714.0,1.045,5.713,0.0,0.0,0.0,0.122,50.0
interest_coverage,88714.0,165.278,1267.1,-1460.333,9.355,9.355,9.355,17049.57
roa,88714.0,0.211,1.695,-8.7,0.004,0.135,0.467,10.0
net_margin,88714.0,-0.002,0.782,-5.999,0.002,0.053,0.191,0.94
operating_margin,88714.0,0.026,0.736,-5.56,0.007,0.068,0.214,0.988
cfo_to_assets,88714.0,0.037,0.553,-2.694,0.0,0.0,0.0,3.59
log_assets,88714.0,15.276,2.346,9.21,13.813,15.321,16.84,20.999
log_revenue,88714.0,16.178,1.975,10.597,14.902,16.159,17.498,21.109
is_bankrupt,88714.0,0.002,0.048,0.0,0.0,0.0,0.0,1.0
