Model,ROC-AUC,PR-AUC
Logistic Regression,0.8516955307713414,0.07142002753062403
Logistic Regression,0.874025995499772,0.03274153317828779
Logistic Regression,0.8518052583497419,0.054204861437993794
Logistic Regression,0.8575759120678039,0.07174777953394645
Logistic Regression,0.8220289244071902,0.06843960335964196
Random Forest,0.8268140269326576,0.051692556168858525
Random Forest,0.8774617942213543,0.022677387489164983
Random Forest,0.8679005320079755,0.04632196636099552
Random Forest,0.8847853435316454,0.048744918781959745
Random Forest,0.8969948596283116,0.058054737229029964
XGBoost,0.848488333306433,0.034428007922723464
XGBoost,0.8357878361564248,0.016502849374071548
XGBoost,0.8551046447699661,0.03134562886304096
XGBoost,0.8616944612471943,0.046884089001290485
XGBoost,0.8678451909074252,0.08779612505564512
